#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-02T16:26:09 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-02T16:26:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/278/28&-out.max=1000&-out.add=_RAJ2000,_DEJ2000&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22780028
#Name: J/ApJS/278/28
#Title: CL-AGN from the DESI. II. Stat. properties from DR1 (Guo+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/278/28	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/278/28	    IVOID of underlying data collection
#INFO	creator=Guo W.-J.	    First author or institution
#INFO	cites=bibcode:2025ApJS..278...28G	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/278/28	    Dataset landing page
#INFO	publication_date=2026-05-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_278_28_spdesi:
#Name: J/ApJS/278/28/spdesi
#Title: Metadata for DESI spectra used and the luminosities and masses derived
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	TargetID	(I19)	DESI target identifier (TARGETID)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension, DESI (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-10.1/68] Declination, DESI (J2000) (Dec)	[ucd=pos.eq.dec;meta.main]
#Column	zspec	(F8.5)	[0.059/0.9] Spectroscopic redshift from DESI (Redshift)	[ucd=src.redshift]
#Column	Survey	(a7)	Survey ID (SURVEY) (1)	[ucd=meta.id]
#Column	Prog	(A6)	DESI program ID (PROGRAM)	[ucd=meta.id;obs]
#Column	Healpix	(I5)	[34/49105] HEALPIX pixel ID (HEALPIX)	[ucd=meta.id;pos.frame]
#Column	MJD	(I5)	[51578/58514] Mean modified Julian Data of coadded spectra (MJD)	[ucd=time.epoch;stat.mean]
#Column	logL5100	(F8.5)	[40.3/45.2] Log, Continuum luminosity at 5100{AA} (LOG_L5100)	[ucd=phys.luminosity;em.opt]
#Column	e_logL5100	(F9.5)	[0.0028/146.5] Uncertainty in logL5100 (LOG_L5100_ERR)	[ucd=stat.error;phys.luminosity;em.opt]
#Column	logL2500	(F8.5)	[40/45.5] Log, Extrapolated luminosity at 2500{AA} (LOG_L2500)	[ucd=phys.luminosity;em.UV.200-300nm]
#Column	e_logL2500	(F9.5)	[0.0028/146.5] Uncertainty in logL2500 (LOG_L2500_ERR)	[ucd=stat.error;phys.luminosity;em.UV.200-300nm]
#Column	logLMgII	(F8.5)	[39.6/43.7]? Log, broad MgII line luminosity (LOG_LMgII)	[ucd=phys.luminosity;spect.line]
#Column	e_logLMgII	(F8.5)	[0.028/3]? Uncertainty in logLMgII (LOG_LMgII_ERR)	[ucd=stat.error;phys.luminosity;spect.line]
#Column	logLHb	(F8.5)	[36.3/43.4] Log, broad H{beta} line luminosity (LOG_LHB)	[ucd=phys.luminosity;em.line.Hbeta]
#Column	e_logLHb	(F9.6)	[0/3] Uncertainty in logLHb (LOG_LHB_ERR)	[ucd=stat.error;phys.luminosity;em.line.Hbeta]
#Column	logLHa	(F8.5)	[39.29/43.3]? Log, broad H{alpha} line luminosity (LOG_LHA)	[ucd=phys.luminosity;em.line.Halpha]
#Column	e_logLHa	(F9.6)	[0/2.6]? Uncertainty in logLHa (LOG_LHA_ERR)	[ucd=stat.error;phys.luminosity;em.line.Halpha]
#Column	logMBH-Hb	(F8.5)	[6.49/9.51]? Log, black hole mass from H{beta} (LOG_MBH_HB)	[ucd=phys.mass]
#Column	e_logMBH-Hb	(F8.5)	[0.12/0.9]? Uncertainty in logMBH-Hb (LOG_MBH_HB_ERR)	[ucd=stat.error;phys.mass]
#Column	logMBH-Ha	(F8.5)	[5.2/9.2]? Log, black hole mass from H{alpha} (LOG_MBH_HA)	[ucd=phys.mass]
#Column	e_logMBH-Ha	(F8.5)	[0.13/85]? Uncertainty in logMBH-Ha (LOG_MBH_HA_ERR)	[ucd=stat.error;phys.mass]
_RAJ2000	_DEJ2000	recno	TargetID	RAJ2000	DEJ2000	zspec	Survey	Prog	Healpix	MJD	logL5100	e_logL5100	logL2500	e_logL2500	logLMgII	e_logLMgII	logLHb	e_logLHb	logLHa	e_logLHa	logMBH-Hb	e_logMBH-Hb	logMBH-Ha	e_logMBH-Ha
013.6020000	+04.7392200	      23	  39627899652802296	013.60200	+04.73922	 0.55512	main   	bright	18137	55531	44.15292	  0.06419	44.56548	  0.06419	42.92381	 0.08686	42.33520	 0.167370	        	         	 8.19238	 0.26477	        	
014.3272700	+24.9422000	      24	  39628370899632363	014.32727	+24.94220	 0.57822	main   	dark  	19932	57327	43.86587	  0.07208	44.13155	  0.07208	42.79984	 0.14476	41.90918	 0.171870	        	         	 8.47408	 0.17973	        	
014.9562900	+27.0067500	      25	  39628414457480999	014.95629	+27.00675	 0.62024	main   	dark  	 2186	56240	44.66141	  0.01263	44.89475	  0.01263	42.81688	 0.10857	42.65426	 0.066030	        	         	 9.20573	 0.21480	        	
015.3485200	+01.0125900	      26	  39627809143917925	015.34852	+01.01259	 0.27528	main   	bright	18023	57360	43.21476	  0.08225	42.90516	  0.08225	        	        	40.92770	 0.381670	41.90815	 0.047600	        	        	 7.36040	 0.14874
017.1133100	+23.1528400	      27	  39628332257509584	017.11331	+23.15284	 0.45310	main   	dark  	19837	57282	43.42013	  0.05530	44.11619	  0.05530	42.53287	 0.14476	41.68170	 0.199370	        	         	 7.98144	 0.21644	        	
017.2224400	+10.3186200	      28	  39628031559470444	017.22244	+10.31862	 0.69207	main   	dark  	18352	55569	43.49648	  0.10684	43.74417	  0.10684	42.43875	 0.10857	41.85872	 0.333540	        	         	 8.23915	 0.23963	        	
017.8775200	+04.9376400	      29	  39627905747126240	017.87752	+04.93764	 0.77503	main   	dark  	18218	55511	43.87492	  0.05479	44.12013	  0.05479	42.92422	 0.21715	42.24585	 0.123040	        	         	        	        	        	
018.2992500	+01.5951300	      30	  39627821273843680	018.29925	+01.59513	 0.24058	main   	bright	18036	57282	43.89784	  0.01162	44.36518	  0.01162	        	        	41.88878	 0.045170	42.50587	 0.008010	 8.15317	 0.12932	 8.25706	 0.13044
018.9004800	+00.5645900	      31	  39627797123044912	018.90048	+00.56459	 0.36432	main   	dark  	18011	55481	44.12741	  0.01523	44.04643	  0.01523	        	        	42.22324	 0.023670	42.68980	 0.000000	 8.36360	 0.12466	 8.58980	 0.21733
018.9981200	+06.5607800	      32	  39627941860084382	018.99812	+06.56078	 0.69682	main   	dark  	18222	55864	43.33457	  0.17890	43.53906	  0.17890	42.36786	 0.14476	41.69695	 0.588240	        	         	 8.22062	 0.58065	        	
019.2397100	+18.6899700	      33	  39628230579191854	019.23971	+18.68997	 0.48965	main   	bright	19795	55866	43.65351	  0.11671	44.03801	  0.11671	42.40192	 1.22664	41.82694	 0.201760	        	         	        	        	        	
019.3887500	+01.1200600	      34	  39627809211027865	019.38875	+01.12006	 0.27629	main   	bright	18014	55481	43.30059	  0.07852	42.99102	  0.07852	        	        	40.93292	 0.828990	41.86998	 0.037760	        	        	 7.29563	 0.14977
019.9255200	-00.3172100	      35	  39627779020429970	019.92552	-00.31721	 0.25647	main   	bright	18003	57363	42.98580	  0.12635	43.54862	  0.12635	        	        	41.22928	 0.330070	42.13070	 0.152500	        	        	 7.09324	 0.15586
019.9803200	+03.5000800	      36	  39627869609008260	019.98032	+03.50008	 0.35701	main   	bright	18209	57672	43.60872	  0.07672	43.37469	  0.07672	        	        	41.71753	 0.134420	42.36580	 0.040110	        	        	 7.86486	 0.13892
019.9920100	+00.7306400	      37	  39627803179622344	019.99201	+00.73064	 0.69962	main   	dark  	18012	55484	43.57392	  0.09680	43.86530	  0.09680	42.44648	 0.95761	41.81461	 0.280870	        	         	        	        	        	
020.1905300	+03.4936400	      38	  39627869613201266	020.19053	+03.49364	 0.77666	main   	dark  	18209	57672	43.98787	  0.07846	44.09306	  0.07846	42.81556	 0.10857	42.03186	 0.226780	        	         	        	        	        	
020.5726100	-00.2998000	      39	  39627779033008899	020.57261	-00.29980	 0.32310	main   	bright	18006	55501	43.75108	  0.06992	43.44155	  0.06992	        	        	38.85220	 0.108570	42.18348	 0.044150	        	        	 7.53710	 0.14682
020.9728000	+00.1607800	      40	  39627791116804237	020.97280	+00.16078	 0.65536	main   	dark  	18007	56989	43.94463	  0.07942	44.07359	  0.07942	42.31992	 0.10857	41.59152	 0.785370	        	         	        	        	        	
021.0645200	+24.1984300	      41	  39628354487320630	021.06452	+24.19843	 0.54973	main   	dark  	 2084	57286	43.94422	  0.04987	44.17518	  0.04987	42.55857	 2.30399	42.09647	 0.100940	        	         	 7.52759	 0.39275	        	
021.0674700	+06.4043800	      42	  39627941893639281	021.06747	+06.40438	 0.68719	main   	dark  	18232	55532	44.28174	  0.03529	44.19738	  0.03529	42.93249	 0.10857	42.44292	 0.126790	        	         	 9.27102	 0.13605	        	
021.5271500	+07.7194100	      43	  39627971908077837	021.52715	+07.71941	 0.52195	main   	bright	18235	55584	44.47198	  0.03350	44.80141	  0.03350	43.01304	 0.40313	41.21386	 1.946630	        	         	        	        	        	
022.7809100	+00.7038400	      44	  39627803229947073	022.78091	+00.70384	 0.65742	main   	dark  	18176	55501	43.75170	  0.06828	44.11801	  0.06828	42.44025	 0.21715	41.85678	 0.234940	        	         	 7.51891	 0.52706	        	
023.0585400	-02.5271100	      45	  39627724716771393	023.05854	-02.52711	 0.73221	main   	dark  	17654	56984	44.09940	  0.10729	43.80128	  0.10729	41.97405	 0.72156	40.41231	 0.108570	        	         	        	        	        	
023.2346900	+00.7239300	      46	  39627803234149517	023.23469	+00.72393	 0.23848	main   	bright	18177	51820	43.68305	  0.05379	43.67017	  0.05379	        	        	41.54263	 0.181750	42.07899	 0.042280	 7.38839	 0.13222	 7.34859	 0.26740
023.2587200	+14.1709700	      47	  39628126220715311	023.25872	+14.17097	 0.57115	main   	dark  	18394	55614	44.40285	  0.02060	44.64216	  0.02060	42.74957	 0.48330	42.56128	 0.041850	        	         	 8.58754	 0.12692	        	
023.7469100	-00.5974500	      48	  39627773043549746	023.74691	-00.59745	 0.72882	main   	dark  	17832	57364	43.97624	  0.06486	43.91637	  0.06486	42.60447	 0.21715	42.08646	 0.247810	        	         	        	        	        	
025.3813500	-09.4316600	      49	  39627556550347130	025.38135	-09.43166	 0.52210	main   	dark  	17516	52174	43.73811	  0.06120	43.99174	  0.06120	42.54486	 0.08686	41.96676	 0.260410	        	         	 8.22371	 0.17790	        	
025.4748900	+01.0848500	      50	  39627809311694459	025.47489	+01.08485	 0.10141	main   	bright	17837	51788	43.40748	  0.01348	43.09788	  0.01348	        	        	41.60752	 0.022400	42.15115	 0.005460	 8.54927	 0.21458	 8.54734	 0.13260
025.5652800	+08.1074400	      51	  39627977964652097	025.56528	+08.10744	 0.71510	main   	dark  	18272	55559	44.06230	  0.04367	44.27997	  0.04367	43.07574	 0.08686	42.33136	 0.109620	        	         	        	        	        	
025.5880100	+22.4609800	      52	  39628315652263242	025.58801	+22.46098	 0.59701	main   	bright	 2064	55892	44.35805	  0.04820	44.39276	  0.04820	42.04238	 0.14476	42.53665	 0.102730	        	         	 8.12499	 0.16352	        	
026.0616200	-05.9816000	      53	  39627640390294943	026.06162	-05.98160	 0.65938	main   	dark  	17617	56573	44.51228	  0.01249	44.90638	  0.01249	42.34299	 1.99196	42.52792	 0.059490	        	         	 8.71844	 0.32339	        	
026.4006500	+25.9885900	      54	  39628392949088447	026.40065	+25.98859	 0.51413	main   	dark  	 2077	57360	44.34592	  0.02163	44.33300	  0.02163	42.27014	 0.10857	42.44016	 0.034680	        	         	 8.63150	 0.12722	        	
027.7702600	+11.2662900	      55	  39628055508943121	027.77026	+11.26629	 0.74892	main   	dark  	18291	58437	44.48850	  0.01996	44.61785	  0.01996	42.45550	 2.11975	42.33880	 0.097510	        	         	 8.50933	 0.19172	        	
028.2906800	+22.0747900	      56	  39628304491217637	028.29068	+22.07479	 0.67454	main   	dark  	  694	55840	43.18100	  0.31300	43.44382	  0.31300	41.69292	 0.59807	41.41549	 0.658140	        	         	        	        	        	
029.0559700	+26.4706500	      57	  39628403850085835	029.05597	+26.47065	 0.28263	main   	dark  	 2116	57046	43.11985	  0.06752	43.24905	  0.06752	        	        	40.99887	 0.218400	41.52241	 0.032290	        	        	 6.87303	 0.14933
029.4571700	+31.4356700	      58	  39628509773040586	029.45717	+31.43567	 0.67813	main   	dark  	 2161	56565	44.14926	  0.02867	44.34614	  0.02867	42.89441	 1.15492	42.25506	 0.087000	        	         	 8.18915	 0.12683	        	
029.5198000	-00.8727500	      59	  39627767104406494	029.51980	-00.87275	 0.08065	main   	bright	17816	52933	42.86349	  0.01518	43.89688	  0.01518	        	        	40.87222	 0.093800	41.85728	 0.005350	 6.59817	 0.16212	 6.70289	 0.13913
029.5559900	-01.7422100	      60	  39627742945216667	029.55599	-01.74221	 0.50180	main   	dark  	17799	56960	43.79788	  0.04483	43.86600	  0.04483	42.29621	 0.09337	41.35959	 0.408420	        	         	        	        	        	
029.6894000	+23.6700500	      61	  39628343552774584	029.68940	+23.67005	 0.54543	main   	dark  	  744	56933	44.11095	  0.01812	44.77945	  0.01812	42.91306	 0.93963	42.20480	 0.066170	        	         	 8.31136	 0.15758	        	
029.6907700	-00.3607100	      62	  39627779184007955	029.69077	-00.36071	 0.56450	main   	bright	17816	55478	43.80327	  0.15088	43.61183	  0.15088	42.44045	 0.29232	41.97571	 0.212890	        	         	 7.35258	 0.18360	        	
030.1005000	+00.0932100	      63	  39627785232191463	030.10050	+00.09321	 0.39373	main   	bright	17817	52179	43.77958	  0.10439	43.55184	  0.10439	        	        	41.16528	 1.065110	        	         	        	        	        	
030.2426400	+00.2321300	      64	  39627791271994322	030.24264	+00.23213	 0.58814	main   	dark  	17817	55478	44.05512	  0.03516	44.28684	  0.03516	42.83907	 0.21715	42.36012	 0.078550	        	         	 7.83718	 0.14343	        	
030.5452800	+15.5875900	      65	  39628155576651406	030.54528	+15.58759	 0.51885	main   	dark  	  558	55836	43.66991	  0.13845	43.58713	  0.13845	41.60701	 0.62586	40.95156	 1.209980	        	         	        	        	        	
031.2397100	-00.9654900	      66	  39627761089781771	031.23971	-00.96549	 0.44409	main   	bright	17809	55478	43.70985	  0.09684	43.40025	  0.09684	40.93423	 0.21715	39.21066	 0.217150	        	         	        	        	        	
031.3217900	-06.2421500	      67	  39627634472129647	031.32179	-06.24215	 0.71878	main   	dark  	17697	56660	43.85955	  0.15646	43.54997	  0.15646	41.93751	 1.22151	39.69591	 0.217150	        	         	        	        	        	
031.5897500	+03.7246900	      68	  39627875837543794	031.58975	+03.72469	 0.16899	main   	bright	17889	57400	42.57600	  0.13801	42.26643	  0.13801	        	        	40.07051	 0.647230	41.34429	 0.058280	        	        	 7.38718	 0.16664
031.7239700	-07.8753500	      69	  39627592491342678	031.72397	-07.87535	 0.18413	main   	bright	17501	52163	43.15111	  0.04601	42.97429	  0.04601	        	        	40.50247	 0.814340	41.49290	 0.049180	        	        	 8.22867	 0.13768
031.9335900	-06.1655600	      70	  39627634484707636	031.93359	-06.16556	 0.65023	main   	dark  	17697	56660	43.90828	  0.03551	44.35863	  0.03551	42.91734	 0.75760	42.28727	 0.080490	        	         	        	        	        	
032.0365200	+00.5163700	      71	  39627797345338642	032.03652	+00.51637	 0.08412	main   	bright	17815	51812	43.21438	  0.01836	43.34935	  0.01836	        	        	41.03054	 0.116690	41.51939	 0.017050	 8.26955	 0.15979	 8.13316	 0.13515
033.6441200	+01.0188500	      72	  39627809450103765	033.64412	+01.01885	 0.46196	main   	bright	17856	55479	44.32153	  0.01871	44.60293	  0.01871	42.68057	 0.10857	42.38696	 0.055990	        	         	 8.58124	 0.12604	        	
